,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri,genres
3672,2022-03-04 15:29,System Of A Down,Lonely Day,167906,System Of A Down:Lonely Day,0,,,"['alternative metal', 'nu metal', 'rap metal']"
3673,2022-03-04 15:43,Enrique Iglesias,Bailamos,93577,Enrique Iglesias:Bailamos,0,,,"['dance pop', 'latin pop', 'mexican pop']"
3674,2022-03-04 22:08,mor ve ötesi,Adamın Dibi,277306,mor ve ötesi:Adamın Dibi,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3675,2022-03-04 22:14,mor ve ötesi,Dünyaya Bedel,348360,mor ve ötesi:Dünyaya Bedel,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3676,2022-03-04 22:18,mor ve ötesi,Linç,250320,mor ve ötesi:Linç,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3677,2022-03-04 22:20,mor ve ötesi,Canavar,145653,mor ve ötesi:Canavar,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3678,2022-03-04 22:24,mor ve ötesi,Forsa,227973,mor ve ötesi:Forsa,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3679,2022-03-04 22:29,mor ve ötesi,Hazinende,287653,mor ve ötesi:Hazinende,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3680,2022-03-04 22:36,mor ve ötesi,Kaptan,337613,mor ve ötesi:Kaptan,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3681,2022-03-04 22:39,mor ve ötesi,Ağrılar,212186,mor ve ötesi:Ağrılar,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3682,2022-03-04 22:45,mor ve ötesi,Tünel,322333,mor ve ötesi:Tünel,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3683,2022-03-04 22:51,mor ve ötesi,İstiklal,322280,mor ve ötesi:İstiklal,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3684,2022-03-04 22:58,mor ve ötesi,Park,397946,mor ve ötesi:Park,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3685,2022-03-04 23:01,mor ve ötesi,Deli,184800,mor ve ötesi:Deli,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3686,2022-03-04 23:05,Duman,Seviyorsan İnanıyorsan,25151,Duman:Seviyorsan İnanıyorsan,0,,,"['anadolu rock', 'karadeniz turkuleri', 'turkish alternative', 'turkish alternative rock', 'turkish rock']"
3687,2022-03-04 23:05,mor ve ötesi,Bazen,235266,mor ve ötesi:Bazen,0,,,"['turkish alternative', 'turkish alternative rock', 'turkish rock']"
3688,2022-03-05 10:08,Red Hot Chili Peppers,Poster Child,318421,Red Hot Chili Peppers:Poster Child,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3689,2022-03-05 21:18,Ceza,Tamam (feat. Fjarde Varlden),260281,Ceza:Tamam (feat. Fjarde Varlden),0,,,"['azeri rap', 'turkish hip hop']"
3690,2022-03-05 21:19,Red Hot Chili Peppers,Poster Child,1311,Red Hot Chili Peppers:Poster Child,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3691,2022-03-05 21:19,Supersci,A Deuce Or An Ace,82546,Supersci:A Deuce Or An Ace,0,,,"['norrlandsk hip hop', 'swedish hip hop']"
3692,2022-03-05 21:29,TOOL,Opiate²,594048,TOOL:Opiate²,0,,,"['alternative metal', 'art rock', 'nu metal', 'progressive metal', 'progressive rock', 'rock']"
